Id,Car Make,Production Year,Car Mileage,Cost
5287,Mercedes,2015,197081,40000
5288,Ford,2007,283982,3000
5289,Audi,2010,240220,3000
5290,Hyundai,1986,268236,3000
5291,Mazda,1976,70276,3000
5292,Toyota,2000,160722,3000
5293,Audi,1986,133173,40000
5294,Volkswagen,2008,166531,40000
5295,Mercedes,1978,197041,40000
5296,Toyota,1983,183420,40000
5297,Lamborghini,2021,227100,3000
5298,Suzuki,1986,234293,40000
5299,Lamborghini,1998,282073,3000
5300,Volkswagen,2004,156910,3000
5301,Kia,1974,107648,40000
5302,Ferrari,1981,5187,3000
5303,Tesla,2019,281408,3000
5304,Audi,1986,68478,3000
5305,Hyundai,1994,193995,40000
5306,Suzuki,1979,217002,3000
5307,BMW,1999,181819,3000
5308,Land Rover,1987,126703,3000
5309,Audi,2002,168304,40000
5310,Hyundai,1972,156926,40000
5311,Chevrolet,2005,1057,3000
5312,Toyota,2016,203316,40000
5313,Mercedes,1989,291644,40000
5314,Subaru,2018,127167,3000
5315,Volvo,2023,50172,40000
5316,Ford,1995,154144,40000
5317,Tesla,2019,114374,40000
5318,Chevrolet,2013,135651,40000
5319,Volkswagen,2011,52800,40000
5320,Hyundai,2012,46882,3000
5321,Mazda,2009,157128,40000
5322,Porsche,2022,144523,40000
5323,Audi,1972,127161,3000
5324,Mazda,1979,111869,40000
5325,Honda,2022,143527,3000
5326,Honda,1973,235986,3000
5327,Hyundai,1979,269599,40000
5328,Nissan,1984,91087,3000
5329,Jaguar,1978,179297,40000
5330,Jaguar,2019,292523,3000
5331,Audi,2004,176369,40000
5332,Toyota,2006,258807,40000
5333,Audi,1971,164564,40000
5334,Tesla,1972,239348,40000
5335,Subaru,1976,183111,3000
5336,Nissan,1987,134167,3000
5337,Chevrolet,2007,38301,40000
5338,Porsche,2005,107871,40000
5339,Tesla,1972,132409,3000
5340,Volvo,2022,189508,40000
5341,BMW,2014,124159,3000
5342,Ford,1979,5529,40000
5343,Mercedes,2013,14612,3000
5344,Hyundai,1981,176862,3000
5345,Toyota,2017,119289,40000
5346,BMW,1982,277056,40000
5347,Mercedes,2005,47110,3000
5348,Toyota,1986,3944,40000
5349,Nissan,1981,117872,40000
5350,Nissan,1990,48173,3000
5351,Tesla,1990,69077,3000
5352,Kia,2006,69437,3000
5353,Jaguar,1989,105064,3000
5354,Audi,1987,17552,3000
5355,Mazda,2019,146628,3000
5356,Chevrolet,1977,242333,3000
5357,Kia,2014,252312,3000
5358,Toyota,2010,106,3000
5359,Hyundai,2011,289464,40000
5360,Chevrolet,2018,183327,3000
5361,Lamborghini,1997,223317,3000
5362,Nissan,2010,162558,3000
5363,Jaguar,1986,120044,40000
5364,BMW,2009,295822,40000
5365,Lamborghini,1981,149085,3000
5366,Mazda,1994,213054,40000
5367,Chevrolet,2006,130260,40000
5368,Chevrolet,2002,159519,40000
5369,Kia,1973,259675,40000
5370,Subaru,1983,288739,40000
5371,Volvo,2022,51557,40000
5372,Kia,2018,140223,3000
5373,Audi,2018,284304,3000
5374,Audi,2020,180084,40000
5375,Jaguar,1980,193010,3000
5376,Mercedes,1987,211787,40000
5377,Porsche,2018,265455,3000
5378,Suzuki,2010,27896,3000
5379,Suzuki,2000,273012,3000
5380,Jaguar,1997,202609,40000
5381,Lamborghini,2012,142827,3000
5382,Nissan,1983,149333,40000
5383,Tesla,1976,99246,3000
5384,Volkswagen,1987,274322,3000
5385,Mazda,1971,3894,3000
5386,Tesla,1998,52379,40000
5387,Land Rover,1999,154604,40000
5388,Subaru,2001,208923,3000
5389,Kia,2003,228572,3000
5390,Porsche,1993,72898,40000
5391,Ferrari,2022,298079,40000
5392,Land Rover,2020,61899,3000
5393,Audi,2017,104237,3000
5394,Lamborghini,1982,170305,3000
5395,Kia,2016,177226,40000
5396,BMW,2011,133264,40000
5397,Ferrari,1974,85124,40000
5398,Audi,1996,119986,40000
5399,Audi,1983,271414,40000
5400,Toyota,2008,78885,40000
5401,Kia,1991,146289,40000
5402,Audi,2000,178514,3000
5403,Volvo,2003,71506,3000
5404,Volkswagen,2006,49631,40000
5405,Volkswagen,2018,121866,40000
5406,Kia,1984,132527,3000
5407,Audi,1990,222501,3000
5408,Mercedes,1994,127374,3000
5409,Hyundai,1987,194421,3000
5410,Volkswagen,2005,282350,40000
5411,Nissan,2000,151155,40000
5412,BMW,2003,140782,3000
5413,BMW,2021,156832,3000
5414,Land Rover,2009,112795,3000
5415,Tesla,1984,24532,3000
5416,Suzuki,2010,279929,3000
5417,Tesla,2004,65227,40000
5418,Lamborghini,2013,141555,40000
5419,Kia,2021,110223,3000
5420,Toyota,2008,47883,3000
5421,BMW,2010,8659,3000
5422,Suzuki,1980,191665,3000
5423,Ferrari,2010,24108,40000
5424,Subaru,1996,35285,3000
5425,Kia,1989,29158,3000
5426,Honda,1970,95919,3000
5427,Hyundai,2007,111497,40000
5428,Honda,1976,154364,3000
5429,Hyundai,1981,289803,3000
5430,Land Rover,1998,10832,3000
5431,BMW,1978,139253,3000
5432,Honda,1994,188067,3000
5433,Porsche,1979,295972,3000
5434,Audi,2021,67365,3000
5435,Lamborghini,2014,43533,3000
5436,Audi,2004,258326,40000
5437,Mazda,2002,183104,40000
5438,Ferrari,2008,156084,40000
5439,Nissan,2017,282896,40000
5440,Mazda,1981,128069,40000
5441,Suzuki,1979,147349,3000
5442,Ford,1972,186461,40000
5443,Hyundai,2000,39876,3000
5444,Porsche,1975,170118,3000
5445,Mercedes,1993,214886,40000
5446,Porsche,1981,184376,3000
5447,BMW,2006,170018,40000
5448,Land Rover,1998,213512,40000
5449,Land Rover,2012,11106,3000
5450,BMW,2008,269717,3000
5451,Volkswagen,1989,248450,3000
5452,BMW,1985,203709,3000
5453,Subaru,1984,295847,3000
5454,Ferrari,1999,175289,3000
5455,Tesla,2002,298263,3000
5456,Tesla,1974,118780,3000
5457,Land Rover,1975,222068,40000
5458,Tesla,1974,55424,3000
5459,Audi,2016,170051,3000
5460,Lamborghini,2020,143375,40000
5461,Lamborghini,1997,3914,3000
5462,Porsche,1989,193649,3000
5463,Jaguar,1995,38087,3000
5464,Audi,2005,205003,3000
5465,Tesla,2003,284027,40000
5466,Jaguar,2005,166944,40000
5467,Audi,2013,290655,3000
5468,Tesla,2004,231589,3000
5469,Subaru,1986,2924,40000
5470,Porsche,1993,113080,40000
5471,Tesla,2012,65245,3000
5472,Nissan,2009,192471,40000
5473,Jaguar,2021,214887,3000
5474,Chevrolet,1997,134044,3000
5475,Volkswagen,2009,166161,3000
5476,Audi,1972,53483,40000
5477,Toyota,1997,2764,3000
5478,Suzuki,2015,266595,40000
5479,Audi,2020,81679,40000
5480,Subaru,2008,270319,40000
5481,Lamborghini,1971,5339,3000
5482,Chevrolet,1994,249985,40000
5483,Subaru,1996,280388,40000
5484,Ford,1973,36092,3000
5485,Ford,1999,280627,40000
5486,Jaguar,1981,266813,40000
5487,Nissan,1975,105371,3000
5488,Lamborghini,1996,161563,40000
5489,Ferrari,1973,196566,40000
5490,Mazda,2010,222428,40000
5491,Toyota,2015,102478,40000
5492,Nissan,2011,298710,3000
5493,Kia,1989,9158,3000
5494,Chevrolet,2004,299927,40000
5495,Volkswagen,1995,214698,3000
5496,Ford,1987,265042,3000
5497,Subaru,1976,153527,40000
5498,Mercedes,2017,11008,40000
5499,BMW,2005,75209,40000
5500,Kia,1972,266017,3000
5501,Subaru,1972,32907,40000
5502,Lamborghini,2023,46230,40000
5503,Volkswagen,1992,199690,40000
5504,Suzuki,1981,284817,40000
5505,Subaru,1999,86442,40000
5506,Toyota,2016,214875,40000
5507,Volkswagen,1978,282465,3000
5508,Volvo,2011,88777,40000
5509,Mazda,1991,184393,3000
5510,Porsche,1990,61339,3000
5511,Porsche,1994,239337,3000
5512,Hyundai,1984,92567,3000
5513,Chevrolet,1985,279342,40000
5514,Mercedes,2001,296912,3000
5515,Porsche,2023,102346,40000
5516,Jaguar,1988,173397,40000
5517,Porsche,1994,137572,40000
5518,Chevrolet,1991,132898,40000
5519,BMW,1994,240183,40000
5520,Kia,2021,132939,3000
5521,Lamborghini,2002,228836,40000
5522,Porsche,1988,107049,3000
5523,Ford,1983,253375,3000
5524,Chevrolet,1997,144936,40000
5525,Audi,1993,184475,3000
5526,Suzuki,1987,78285,40000
5527,Kia,2013,128985,40000
5528,BMW,1989,165312,3000
5529,Hyundai,2020,172268,3000
5530,Ford,1972,283109,40000
5531,Toyota,2012,66761,3000
5532,Subaru,1972,297304,3000
5533,Audi,1984,238770,3000
5534,Ferrari,2000,46472,40000
5535,Volkswagen,1994,191859,3000
5536,Toyota,1974,130212,3000
5537,Nissan,2016,249565,40000
5538,Porsche,1989,43852,3000
5539,Ford,1975,170250,40000
5540,Volkswagen,2020,280585,40000
5541,Mercedes,1976,16519,40000
5542,Audi,1991,44766,3000
5543,Volvo,2002,20783,3000
5544,Lamborghini,2011,204066,3000
5545,Mazda,1976,164258,40000
5546,Toyota,2011,19215,3000
5547,Nissan,2014,9646,3000
5548,Subaru,1985,186407,40000
5549,Honda,1991,274260,3000
5550,Toyota,2002,229982,3000
5551,Tesla,1983,59716,40000
5552,Ford,2002,136048,3000
5553,Tesla,2016,294502,40000
5554,Hyundai,1977,216623,3000
5555,Chevrolet,2011,83478,40000
5556,Subaru,1972,254662,3000
5557,Nissan,1978,232255,40000
5558,BMW,1996,87024,3000
5559,Toyota,2000,195206,40000
5560,Mazda,1974,155539,3000
5561,Mercedes,1981,210201,40000
5562,Kia,2015,186957,40000
5563,Ferrari,1976,159183,3000
5564,Porsche,2006,80335,40000
5565,Nissan,1993,175506,40000
5566,Mercedes,1987,67590,3000
5567,Ferrari,1994,146737,40000
5568,Nissan,1993,118080,40000
5569,Volvo,2002,273341,40000
5570,Kia,2018,116170,40000
5571,Hyundai,1989,264632,40000
5572,Lamborghini,1995,21784,3000
5573,Mazda,1979,256729,3000
5574,Chevrolet,1989,218453,40000
5575,Lamborghini,1982,178621,3000
5576,Land Rover,2001,146724,40000
5577,Ferrari,2003,154379,3000
5578,Audi,1984,21476,40000
5579,Kia,1994,194105,3000
5580,Land Rover,2006,268425,40000
5581,Ferrari,2012,19226,3000
5582,Toyota,1988,103215,3000
5583,Hyundai,1995,192900,40000
5584,BMW,1984,217061,3000
5585,Audi,1981,277045,40000
5586,Ford,2014,106608,3000
5587,Kia,1996,170761,40000
5588,Toyota,2004,277734,40000
5589,Audi,2001,274941,40000
5590,Ferrari,2021,157230,3000
5591,Ford,2015,283310,3000
5592,Nissan,1980,261829,40000
5593,Suzuki,2008,292496,40000
5594,Subaru,1977,141017,40000
5595,Ford,2005,204452,40000
5596,Suzuki,1983,145784,40000
5597,Porsche,2007,151992,3000
5598,Ford,1981,120741,3000
5599,Audi,1972,208238,40000
5600,Jaguar,1994,279487,3000
5601,Volkswagen,1984,277214,3000
5602,Toyota,2008,16391,3000
5603,Tesla,2023,39013,3000
5604,Land Rover,2022,287792,3000
5605,Jaguar,2016,97439,3000
5606,Land Rover,2014,173449,3000
5607,Hyundai,2022,39013,40000
5608,Tesla,2009,289944,40000
5609,Toyota,1983,270211,3000
5610,Lamborghini,1982,61944,3000
5611,Jaguar,1972,35801,40000
5612,Porsche,1998,74807,3000
5613,Mercedes,2003,41930,3000
5614,Mazda,2006,255327,3000
5615,Chevrolet,2022,17720,40000
5616,Mercedes,1978,78123,3000
5617,Volkswagen,1993,255179,40000
5618,Subaru,1973,192509,3000
5619,Porsche,1972,815,40000
5620,Ferrari,1976,97312,3000
5621,Audi,2010,136520,3000
5622,BMW,2005,81950,3000
5623,Tesla,2022,267004,3000
5624,Suzuki,2015,121563,3000
5625,Jaguar,2016,38726,40000
5626,Kia,2004,261590,3000
5627,Audi,2020,105480,40000
5628,Mercedes,2000,33110,40000
5629,Suzuki,2020,43479,40000
5630,Audi,1999,74659,40000
5631,Ferrari,1977,66728,3000
5632,Nissan,1980,197658,40000
5633,Porsche,1975,212256,3000
5634,Lamborghini,2002,51291,40000
5635,Lamborghini,2004,35575,40000
5636,Subaru,1974,158722,3000
5637,Suzuki,2000,169446,3000
5638,Suzuki,1971,199690,40000
5639,Suzuki,1976,29621,3000
5640,Volvo,2011,248419,40000
5641,Lamborghini,1971,129023,40000
5642,Tesla,2001,112825,3000
5643,Volkswagen,1993,96424,40000
5644,Chevrolet,2008,176914,3000
5645,Suzuki,2015,287433,3000
5646,Mazda,1974,241155,40000
5647,Honda,2005,100951,3000
5648,Suzuki,2006,164759,3000
5649,Jaguar,1978,203460,40000
5650,Suzuki,2004,10728,40000
5651,Audi,1987,240936,3000
5652,Land Rover,2008,56144,40000
5653,Volkswagen,2011,51465,40000
5654,Suzuki,1973,21139,40000
5655,Audi,2008,293725,40000
5656,Jaguar,1995,214477,40000
5657,Mazda,1988,46995,3000
5658,BMW,2021,271513,3000
5659,Tesla,2010,106829,3000
5660,Kia,2018,248794,40000
5661,Ferrari,2022,91395,40000
5662,Toyota,2006,264422,3000
5663,Audi,1983,299928,40000
5664,Lamborghini,1971,34238,40000
5665,Chevrolet,2002,268578,3000
5666,Suzuki,2006,157208,3000
5667,Ferrari,1993,121930,40000
5668,Tesla,2000,237108,3000
5669,Tesla,1981,129207,40000
5670,Honda,1990,266053,40000
5671,Volvo,1994,226659,40000
5672,Honda,2006,142964,40000
5673,Volkswagen,2008,284142,3000
5674,Tesla,1987,61721,3000
5675,Porsche,2003,139994,40000
5676,Ford,1990,239758,40000
5677,Honda,1986,203538,40000
5678,Jaguar,1997,82030,40000
5679,Jaguar,2023,63343,40000
5680,Chevrolet,2011,125530,3000
5681,Ford,2000,57007,3000
5682,Chevrolet,1986,165823,40000
5683,Porsche,1978,120077,3000
5684,Mercedes,2003,165957,3000
5685,Kia,1988,17250,40000
5686,Volvo,1997,136351,40000
5687,Mercedes,2016,104760,3000
5688,Hyundai,1985,180999,40000
5689,Volvo,2014,137307,40000
5690,Kia,1973,24102,3000
5691,Mercedes,1999,279738,3000
5692,Porsche,1991,278010,3000
5693,BMW,1999,224489,40000
5694,Volvo,1995,43345,40000
5695,Porsche,1978,58184,3000
5696,Mercedes,2012,148625,40000
5697,Ferrari,2001,255687,3000
5698,Lamborghini,1981,48742,3000
5699,Toyota,2018,224466,40000
5700,BMW,1981,109442,3000
5701,Hyundai,2017,53124,3000
5702,Honda,1983,48634,40000
5703,Ford,1983,28134,3000
5704,Mercedes,2016,68448,3000
5705,Land Rover,2008,224696,40000
5706,BMW,2017,89619,40000
5707,Land Rover,2007,135518,40000
5708,Tesla,1974,204064,40000
5709,Tesla,1977,56373,40000
5710,Land Rover,1973,126258,3000
5711,Hyundai,2013,213138,3000
5712,Ferrari,1998,158629,40000
5713,Ferrari,1983,144908,3000
5714,Mercedes,2014,11726,3000
5715,Mazda,1990,145029,40000
5716,Porsche,2012,236195,40000
5717,Suzuki,1996,163378,40000
5718,Mazda,1973,209430,40000
5719,Suzuki,1986,125365,3000
5720,Chevrolet,2023,161492,40000
5721,Ford,1988,272498,3000
5722,Tesla,1986,285788,3000
5723,Mercedes,2021,45120,40000
5724,BMW,1989,293991,3000
5725,BMW,2017,124158,3000
5726,Audi,2020,85914,40000
5727,Volvo,1982,106795,3000
5728,Volvo,2018,114971,3000
5729,Volkswagen,1970,15664,40000
5730,Volkswagen,1975,113098,3000
5731,Hyundai,2013,181342,3000
5732,Tesla,2014,285263,3000
5733,Tesla,2015,197917,3000
5734,Tesla,1987,191384,3000
5735,Volkswagen,1973,71142,3000
5736,Lamborghini,1993,50426,3000
5737,Suzuki,2019,236243,3000
5738,Mercedes,2009,88064,40000
5739,Volkswagen,1975,125319,3000
5740,Mercedes,2019,188555,40000
5741,Mercedes,1990,116817,3000
5742,Ferrari,1976,134553,40000
5743,Kia,2003,39787,40000
5744,Tesla,1984,103703,3000
5745,BMW,1994,144858,3000
5746,Mercedes,2019,227279,40000
5747,Chevrolet,1971,175496,3000
5748,Honda,1983,83154,3000
5749,BMW,2015,3134,40000
5750,Kia,2020,158992,3000
5751,Porsche,1997,271950,3000
5752,Volkswagen,1997,128574,40000
5753,Kia,2000,165338,3000
5754,Mercedes,2017,95972,40000
5755,Volvo,1980,111680,40000
5756,Hyundai,1973,78228,3000
5757,Porsche,1984,213828,40000
5758,Suzuki,1990,93546,40000
5759,Volvo,2007,8115,3000
5760,Porsche,1994,132021,40000
5761,Ford,1980,218801,3000
5762,Audi,2021,45457,3000
5763,Chevrolet,1981,136203,3000
5764,Porsche,1990,218084,3000
5765,Mercedes,1988,182701,40000
5766,Volvo,1974,7641,40000
5767,Chevrolet,1983,93749,3000
5768,Lamborghini,1979,107034,3000
5769,Volvo,2005,242618,40000
5770,Toyota,2009,233508,3000
5771,Porsche,1998,135108,3000
5772,Chevrolet,2007,49622,3000
5773,Chevrolet,2001,290944,40000
5774,Land Rover,2011,128948,40000
5775,Kia,2002,196617,3000
5776,Mercedes,1973,158758,40000
5777,Ford,1993,100331,40000
5778,Land Rover,1975,233517,3000
5779,Volkswagen,2001,200359,3000
5780,Hyundai,2002,205784,40000
5781,Ferrari,2002,180612,3000
5782,Chevrolet,1975,192612,40000
5783,Volkswagen,1988,138267,40000
5784,Ferrari,1984,80370,40000
5785,Honda,1991,51496,40000
5786,Tesla,1971,268394,40000
5787,Ford,2023,44645,3000
5788,Honda,2001,56118,3000
5789,Jaguar,1996,151061,3000
5790,Audi,2007,261758,40000
5791,Porsche,1992,155805,40000
5792,Ferrari,1977,225638,3000
5793,Mazda,1978,257466,3000
5794,Lamborghini,1978,236382,40000
5795,Volvo,2002,160576,3000
5796,Toyota,1990,59850,3000
5797,Hyundai,1991,164625,3000
5798,Volkswagen,1996,263855,40000
5799,Tesla,2019,113731,40000
5800,Land Rover,1974,240787,40000
5801,Ferrari,2001,71015,40000
5802,Volkswagen,1973,82199,40000
5803,Kia,2009,114946,3000
5804,Porsche,2002,185384,3000
5805,Lamborghini,1973,109010,3000
5806,Hyundai,1973,186706,3000
5807,Jaguar,1998,171102,40000
5808,Land Rover,1984,175918,3000
5809,Volkswagen,2011,291441,3000
5810,Hyundai,1972,200288,40000
5811,Kia,1980,97925,40000
5812,Mazda,1991,20246,3000
5813,Toyota,2008,292582,3000
5814,Tesla,2014,64221,3000
5815,Ferrari,1972,113646,3000
5816,Kia,2006,126838,3000
5817,Porsche,1998,206127,40000
5818,Honda,1974,122474,40000
5819,Mazda,1972,299908,3000
5820,Lamborghini,2013,150680,40000
5821,Audi,2015,287475,3000
5822,Audi,2022,262961,3000
5823,Audi,2013,131046,3000
5824,Volkswagen,1980,87912,40000
5825,Tesla,1984,233157,3000
5826,Hyundai,1994,257216,3000
5827,Ferrari,2016,218479,40000
5828,Kia,1979,246474,3000
5829,Kia,2009,170910,3000
5830,Porsche,2010,8348,3000
5831,Audi,1979,234853,3000
5832,Hyundai,1989,125618,3000
5833,Volkswagen,2021,195976,3000
5834,Jaguar,1990,241453,40000
5835,Kia,1999,264425,3000
5836,Lamborghini,2008,138245,3000
5837,Chevrolet,1986,24992,40000
5838,Volkswagen,1998,53686,3000
5839,Audi,1972,201110,40000
5840,Volkswagen,1992,10760,40000
5841,Ferrari,1979,166845,40000
5842,Volkswagen,1999,163764,3000
5843,Kia,2000,146658,3000
5844,Subaru,1984,63902,40000
5845,Subaru,1971,126737,40000
5846,Chevrolet,2018,125168,3000
5847,Hyundai,1985,71871,40000
5848,Land Rover,2004,166859,40000
5849,Volvo,1989,54317,3000
5850,Nissan,1971,121255,40000
5851,Subaru,2021,276209,40000
5852,Hyundai,2019,64280,40000
5853,Volkswagen,1976,91230,40000
5854,Mercedes,2016,48267,40000
5855,Porsche,1982,50331,3000
5856,Lamborghini,1970,65950,3000
5857,BMW,1981,228861,3000
5858,Hyundai,2021,181576,40000
5859,Porsche,2019,81534,3000
5860,Ford,2001,187461,40000
5861,Honda,2010,282635,3000
5862,Hyundai,2016,175748,3000
5863,Mazda,1975,273387,3000
5864,Porsche,1995,288582,40000
5865,Audi,1986,181253,3000
5866,Ford,2021,87986,40000
5867,Volvo,1988,134803,40000
5868,Jaguar,2007,182187,40000
5869,Chevrolet,1999,85390,40000
5870,Ferrari,2023,221131,40000
5871,Subaru,1982,282289,3000
5872,Lamborghini,2019,25658,3000
5873,Lamborghini,2007,232301,3000
5874,Audi,1988,195397,40000
5875,Land Rover,1986,147362,40000
5876,Audi,1996,88364,3000
5877,Land Rover,2016,205595,40000
5878,Volvo,1975,127392,40000
5879,Suzuki,2006,62306,40000
5880,Kia,1993,287101,40000
5881,Land Rover,2022,175464,40000
5882,Honda,1993,11930,40000
5883,Honda,1992,28010,40000
5884,Chevrolet,1984,276566,40000
5885,Land Rover,1996,68715,40000
5886,Jaguar,2021,140447,3000
5887,Volkswagen,2011,197461,40000
5888,Subaru,1996,170361,3000
5889,Land Rover,2000,135378,40000
5890,Hyundai,1971,97699,3000
5891,Toyota,2006,250192,40000
5892,Volkswagen,2003,85921,3000
5893,Volkswagen,2003,89241,40000
5894,Hyundai,2001,80892,3000
5895,BMW,2019,28421,3000
5896,Tesla,2016,203495,40000
5897,Ford,1976,193450,40000
5898,Ford,1996,147705,40000
5899,Audi,2010,33146,3000
5900,Volkswagen,1983,36551,3000
5901,Mazda,1994,174597,3000
5902,Kia,2004,190948,3000
5903,Suzuki,1984,230010,40000
5904,Volkswagen,2011,148641,40000
5905,Volkswagen,1985,101666,3000
5906,Volkswagen,1974,38143,40000
5907,Volkswagen,2013,252463,40000
5908,Land Rover,1989,210386,3000
5909,Mercedes,2002,261670,40000
5910,Chevrolet,1979,218537,3000
5911,Porsche,2021,156491,3000
5912,Mercedes,1974,85755,3000
5913,Volvo,1991,265772,3000
5914,Volkswagen,2005,133980,3000
5915,Mercedes,1986,60717,40000
5916,Porsche,1991,91419,40000
5917,Ferrari,1995,84393,3000
5918,Audi,2013,212819,3000
5919,Jaguar,2017,165201,3000
5920,Suzuki,2002,208776,3000
5921,Subaru,1990,110407,3000
5922,Ferrari,1990,33810,3000
5923,BMW,2021,143485,3000
5924,Audi,2006,35692,40000
5925,Ford,1988,12984,3000
5926,Mercedes,1986,98691,40000
5927,Audi,2016,192399,3000
5928,Audi,2022,227980,40000
5929,Suzuki,2011,261642,40000
5930,Lamborghini,2014,131754,40000
5931,Volkswagen,2011,270391,40000
5932,Volvo,2010,294921,40000
5933,Tesla,2023,266939,40000
5934,Hyundai,2007,39369,3000
5935,Lamborghini,2003,199765,40000
5936,Porsche,2003,270958,40000
5937,Honda,2018,97655,40000
5938,Chevrolet,2023,163211,3000
5939,Chevrolet,1982,78319,3000
5940,Mercedes,2004,289398,3000
5941,Suzuki,1981,116506,40000
5942,Volvo,1971,239552,40000
5943,Hyundai,1982,130351,40000
5944,Porsche,2003,189596,40000
5945,Nissan,1986,85116,40000
5946,Subaru,2008,99398,3000
5947,Volkswagen,1997,27599,40000
5948,Kia,2010,277056,3000
5949,Toyota,1980,74597,3000
5950,Lamborghini,2018,288891,3000
5951,Ferrari,2003,94446,3000
5952,Mazda,2001,154638,3000
5953,Porsche,1977,120141,3000
5954,BMW,2003,2003,3000
5955,Nissan,2002,282322,40000
5956,Ford,2011,204698,3000
5957,Jaguar,1972,241632,3000
5958,BMW,2023,236320,40000
5959,Audi,1987,84861,40000
5960,Chevrolet,2005,6608,3000
5961,Ferrari,1992,214173,3000
5962,Mercedes,2017,172389,3000
5963,Volkswagen,1982,276916,40000
5964,Mazda,2015,116084,40000
5965,BMW,1970,122639,40000
5966,Ford,2023,24008,3000
5967,Land Rover,2004,85541,40000
5968,Suzuki,1981,113977,3000
5969,Volvo,2012,296498,40000
5970,BMW,2011,153578,40000
5971,Suzuki,2004,144999,3000
5972,Land Rover,1996,10306,40000
5973,Kia,2005,126430,40000
5974,Chevrolet,2023,46733,40000
5975,Nissan,1985,27915,40000
5976,Land Rover,1978,128671,3000
5977,Kia,2001,10047,3000
5978,BMW,1989,52591,40000
5979,Toyota,2001,196897,40000
5980,Volkswagen,1997,104393,40000
5981,Porsche,1996,27390,3000
5982,BMW,1983,114107,3000
5983,Audi,1985,13294,40000
5984,Land Rover,2007,121222,40000
5985,Subaru,1992,199293,40000
5986,Hyundai,2017,246716,40000
5987,Kia,2003,224311,3000
5988,BMW,1984,87135,40000
5989,Ford,1990,192651,3000
5990,Toyota,1992,189893,3000
5991,Land Rover,1980,165315,3000
5992,Volvo,1996,95552,40000
5993,Hyundai,2015,49065,40000
5994,Audi,2005,169101,3000
5995,Porsche,2006,159144,40000
5996,Kia,2007,212784,3000
5997,Kia,1994,25560,40000
5998,Mercedes,1998,80507,3000
5999,Kia,2015,56108,40000
6000,Suzuki,1975,20296,3000
6001,Land Rover,1977,246465,3000
6002,BMW,2014,240864,40000
6003,Jaguar,1991,122934,40000
6004,Suzuki,1989,123316,40000
6005,Ferrari,2017,19170,3000
6006,Volkswagen,1993,182112,40000
6007,Suzuki,2010,30818,40000
6008,Chevrolet,2010,240026,3000
6009,Mercedes,2011,70951,40000
6010,Mazda,2005,114908,40000
6011,Mazda,1972,82754,3000
6012,Volvo,1994,102864,3000
6013,Volvo,1973,85267,3000
6014,Volkswagen,1999,103732,3000
6015,Ferrari,2015,23666,3000
6016,Jaguar,2015,281119,3000
6017,Nissan,2013,97507,3000
6018,Porsche,1976,92260,3000
6019,Ferrari,1984,235756,3000
6020,Kia,1996,19778,40000
6021,Tesla,2001,176643,40000
6022,Volkswagen,2009,245826,3000
6023,Land Rover,2023,104848,40000
6024,Subaru,1983,260324,40000
6025,Kia,2010,238050,3000
6026,Toyota,1973,236246,3000
6027,Kia,2002,57175,40000
6028,Volvo,2023,21166,3000
6029,Lamborghini,2012,31131,3000
6030,Land Rover,2005,192136,40000
6031,Chevrolet,2007,78527,3000
6032,Land Rover,1978,294884,3000
6033,Tesla,1974,221617,40000
6034,Volvo,1973,281454,3000
6035,BMW,2004,193095,40000
6036,Ford,1985,151561,40000
6037,Kia,2006,183608,40000
6038,Suzuki,1974,21160,3000
6039,Suzuki,2001,118297,3000
6040,Ford,2012,282215,40000
6041,Volkswagen,1975,75335,40000
6042,Chevrolet,1993,76558,40000
6043,Ford,2007,41878,3000
6044,Lamborghini,1998,121882,40000
6045,Ferrari,2010,201036,40000
6046,Kia,1997,98072,3000
6047,Lamborghini,1997,71157,40000
6048,Volvo,2007,181163,40000
6049,Kia,2003,77681,40000
6050,Ferrari,2021,264520,3000
6051,Hyundai,1990,230369,3000
6052,Volkswagen,2006,249809,3000
6053,Porsche,1970,225260,40000
6054,Ford,1985,172871,40000
6055,Chevrolet,2012,40259,3000
6056,Jaguar,1977,6375,3000
6057,Land Rover,1978,246096,40000
6058,Suzuki,1988,269025,3000
6059,Toyota,2005,83517,40000
6060,Tesla,1980,45091,3000
6061,Land Rover,1998,265000,3000
6062,Ferrari,1987,16348,40000
6063,Audi,1999,50598,40000
6064,Mercedes,2012,244120,3000
6065,Mazda,2006,18356,3000
6066,Suzuki,2004,27029,40000
6067,Ford,2002,116191,3000
6068,Jaguar,1997,177440,40000
6069,Ford,1988,67308,40000
6070,Ferrari,2022,197939,3000
6071,Volkswagen,2000,52546,40000
6072,Lamborghini,2013,152257,40000
6073,Ford,2016,29276,40000
6074,Tesla,1985,115306,3000
6075,Porsche,1996,245603,3000
6076,Audi,1991,154288,40000
6077,Ferrari,1994,64803,3000
6078,Audi,1985,165224,3000
6079,Jaguar,1974,125379,3000
6080,Hyundai,2011,10483,40000
6081,BMW,2008,26570,3000
6082,Porsche,1998,50638,3000
6083,Hyundai,2007,113864,3000
6084,Volvo,1988,291429,40000
6085,Volkswagen,1997,144949,40000
6086,Jaguar,2013,29012,3000
6087,Porsche,1993,142396,3000
6088,Lamborghini,2004,170260,40000
6089,Chevrolet,1978,205767,40000
6090,Kia,1987,38190,3000
